ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2013-02-05 08:49:55+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],293133,US,71.56.209.168,Schoolin' Life,Beyoncé,4 (Deluxe),spotify:track:1kxwB0CZFLUOEQs0iBjYza,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 09:09:34+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],145441,US,71.56.209.168,Dance For You,Beyoncé,4 (Deluxe),spotify:track:5tnCJNanhswAMWvNd1qcKb,,,,trackdone,endplay,TRUE,TRUE,FALSE,,FALSE
2013-02-05 21:19:44+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],154278,US,71.56.209.168,Crazy In Love,Beyoncé,I Am...Tour Instrumentals,spotify:track:0ljxwe66xkaQg2Scx9nCuL,,,,popup,popup,FALSE,TRUE,FALSE,,FALSE
2013-02-05 21:21:25+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],101932,US,71.56.209.168,Get Me Bodied,Beyoncé,I Am...Tour Instrumentals,spotify:track:4RCilYBsDrt4RsFeX7KPqX,,,,popup,popup,FALSE,TRUE,FALSE,,FALSE
2013-02-05 21:25:36+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],251333,US,71.56.209.168,Smash Into You,Beyoncé,I Am...Tour Instrumentals,spotify:track:3kXAIznw6p7upycsunXm0O,,,,popup,trackdone,FALSE,FALSE,FALSE,,FALSE
2013-02-05 21:25:42+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],6463,US,71.56.209.168,Crazy In Love,Beyoncé,I Am...Tour Instrumentals,spotify:track:0ljxwe66xkaQg2Scx9nCuL,,,,trackdone,popup,TRUE,TRUE,FALSE,,FALSE
2013-02-05 21:28:33+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],171706,US,71.56.209.168,If I Were A Boy,Beyoncé,I Am...Tour Instrumentals,spotify:track:6lk5O8gQTIkTxjgPAuZjaB,,,,popup,trackdone,FALSE,FALSE,FALSE,,FALSE
2013-02-05 21:28:52+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],19006,US,71.56.209.168,Diva,Beyoncé,I Am...Tour Instrumentals,spotify:track:3YZ47psCMVu8TUkMxFUcq8,,,,trackdone,popup,FALSE,TRUE,FALSE,,FALSE
2013-02-05 21:29:21+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],29453,US,71.56.209.168,Hello,Beyoncé,I Am...Tour Instrumentals,spotify:track:3j11CaY09VgSPQCXAhHu2n,,,,popup,popup,FALSE,TRUE,FALSE,,FALSE
2013-02-05 21:35:14+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],10293,US,71.56.209.168,Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,spotify:track:2ZBNclC5wm4GtiWaeh0DMx,,,,popup,popup,FALSE,TRUE,FALSE,,FALSE
